audit_case_id,case_id,audit_status,audit_method,source_rebuild_verified,source_record_correct,expected_independent_parse_verified,expected_answer_correct,strict_score_recomputed,strict_score_correct,error_owner,operational_severity,adjudication,audit_date,human_signoff_status,audit_notes
hc-dpd-audit-0001,hc_dpd_043c39ecda680f30_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0002,hc_dpd_3276d80002eaedbb_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0003,hc_dpd_3276d80002eaedbb_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0004,hc_dpd_3e3c972983718ecd_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in company, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0005,hc_dpd_3e3c972983718ecd_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in company, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0006,hc_dpd_464e4967d555d027_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0007,hc_dpd_54012ce9033dd2c6_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0008,hc_dpd_73d9e3c207a7580f_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0009,hc_dpd_97fc1d09ecf78eaa_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in routes, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0010,hc_dpd_c4f2ab05670620ad_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0011,hc_dpd_c4f2ab05670620ad_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0012,hc_dpd_df86ea9ed8e7d06b_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0013,hc_dpd_e59e4150dafc95bb_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0014,hc_dpd_0994f807211e902b_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0015,hc_dpd_109d272209424fac_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (FILM, SOLUBLE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
