case_id,input,expected_output,model_name,model_output
case_001,"Classify the sentiment of this message as positive, neutral, or negative: The shipment arrived two days late and the box was damaged.","negative","model_a","negative"
case_001,"Classify the sentiment of this message as positive, neutral, or negative: The shipment arrived two days late and the box was damaged.","negative","model_b","neutral"
case_001,"Classify the sentiment of this message as positive, neutral, or negative: The shipment arrived two days late and the box was damaged.","negative","model_c","The customer is unhappy because the shipment was late and damaged."
case_002,"Extract the due date from this sentence: The completed form must be submitted by 2026-03-15.","2026-03-15","model_a","2026-03-15"
case_002,"Extract the due date from this sentence: The completed form must be submitted by 2026-03-15.","2026-03-15","model_b","March 15, 2026"
case_002,"Extract the due date from this sentence: The completed form must be submitted by 2026-03-15.","2026-03-15","model_c","The form must be submitted soon."
case_003,"Rewrite this sentence in plain language: Applicants are required to provide documentation prior to the stated deadline.","Applicants must provide documents before the deadline.","model_a","Applicants must provide documents before the deadline."
case_003,"Rewrite this sentence in plain language: Applicants are required to provide documentation prior to the stated deadline.","Applicants must provide documents before the deadline.","model_b","People need to send the required documents before the deadline."
case_003,"Rewrite this sentence in plain language: Applicants are required to provide documentation prior to the stated deadline.","Applicants must provide documents before the deadline.","model_c","Documentation shall be furnished in advance of the prescribed temporal limitation."
case_004,"Answer the arithmetic question: A package contains 8 boxes. Each box contains 6 items. How many items are there in total?","48","model_a","48"
case_004,"Answer the arithmetic question: A package contains 8 boxes. Each box contains 6 items. How many items are there in total?","48","model_b","There are 48 items in total."
case_004,"Answer the arithmetic question: A package contains 8 boxes. Each box contains 6 items. How many items are there in total?","48","model_c","14"
case_005,"Classify the request as one of: refund, technical_support, account_update. Request: I was charged twice for my order and need the extra charge reversed.","refund","model_a","refund"
case_005,"Classify the request as one of: refund, technical_support, account_update. Request: I was charged twice for my order and need the extra charge reversed.","refund","model_b","billing_issue"
case_005,"Classify the request as one of: refund, technical_support, account_update. Request: I was charged twice for my order and need the extra charge reversed.","refund","model_c","technical_support"
case_006,"Extract the name and amount from this sentence as JSON with keys name and amount: Jordan paid 42.50 for the permit.","{""name"": ""Jordan"", ""amount"": 42.50}","model_a","{""name"": ""Jordan"", ""amount"": 42.50}"
case_006,"Extract the name and amount from this sentence as JSON with keys name and amount: Jordan paid 42.50 for the permit.","{""name"": ""Jordan"", ""amount"": 42.50}","model_b","Jordan paid 42.50."
case_006,"Extract the name and amount from this sentence as JSON with keys name and amount: Jordan paid 42.50 for the permit.","{""name"": ""Jordan"", ""amount"": 42.50}","model_c","{""person"": ""Jordan"", ""price"": 42.50}"
